序号,问题,SQL
1,学历本科及以上的男性客户，年龄大于50岁的有多少个,"select count(*)
from ads_cust_info_d a
left join dim_public b on a.edu_cd = b.code and b.code_type_id='600' 
left join dim_public c on a.gender_cd = c.code and c.code_type_id='500'
where b.describe  in ('博士','硕士','学士') and c.describe in ('男')
and a.cust_age>50 "
2,"不同客户年龄段资产分布情况，如下规则：
1、小于30
2、大于等于30，小于50
3、大于等于50，小于60
4、大于60","select case when cust_age<30 then '<30'
     when cust_age>=30 and cust_age<50 then '[30,50)'
     when cust_age>=50 and cust_age<60 then '[50,60)'
     when cust_age>=60 then '[60,)'
    end as cust_age_type
  ,sum(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)) as aset 
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
where a.data_dt='20260531'
group by case when cust_age<30 then '<30'
     when cust_age>=30 and cust_age<50 then '[30,50)'
     when cust_age>=50 and cust_age<60 then '[50,60)'
     when cust_age>=60 then '[60,)'
    end;"
3,钻石卡男性客户，年龄大于40岁，持有比亚迪市值超过1000元，他在26年Q1的盈亏情况,"with custinfo as
(select pty_id
from ads_cust_info_d a 
left join dim_public b on a.cust_lvl_cd=b.code and b.code_type_id='100'
left join dim_public c on a.gender_cd=c.code and c.code_type_id='500'
where b.describe='紫金理财钻石卡客户' and c.describe in ('男')
and a.cust_age>40
),
prdtinfo as
(select a.pty_id,sum(a.mkt_val) as mkt_val
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where b.prdt_name='比亚迪' and a.data_dt='20260331'
and exists(select 1 from custinfo z where a.pty_id=z.pty_id)
group by a.pty_id
having sum(a.mkt_val)>1000
)
select a.pty_id
     ,coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0) as bgn_aset
     ,coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0) as end_aset
     ,coalesce(d.aset_in,0) as aset_in
     ,coalesce(d.aset_out,0) as aset_out
     ,coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)-coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0)+coalesce(d.aset_out,0)-coalesce(d.aset_in,0) as aset_pft
from prdtinfo a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dws_cust_aset_d c on a.pty_id=c.pty_id and c.data_dt='20260101'  --准确的话应该是20251231，暂时以20260101代替
left join 
(
select pty_id
      ,sum(cash_in)+sum(tran_in)+sum(assign_in) as aset_in
      ,sum(cash_out)+sum(tran_out)+sum(assign_out) as aset_out
from dws_cust_fin_d
where data_dt between '20260101' and '20260331'
group by pty_id
) d on a.pty_id=d.pty_id;"
4,分公司各营业部的客户省份分析统计,"select b.up_org_name,b.org_name,a.prov_name,a.city_name,count(*) as cnt
from ads_cust_info_d a
inner join dim_branch b on a.org_id=b.org_id
group by b.up_org_name,b.org_name,a.prov_name,a.city_name"
5,"26年Q1交易过招商银行，且26年Q1末普通账户持有中国平安的客户
","
with cust_tran as
(
select pty_id,prdt_id,sum(buy_amt) as buy_tot,sum(sell_amt) as sell_tot 
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331' 
and prdt_id in (
select prdt_id from dim_product
where prdt_name='招商银行' and prdt_type_name='A股'
)
group by pty_id,prdt_id
)
select a.pty_id
from cust_tran a
inner join 
(
select a.*
from dwd_cust_hold_d a
where prdt_id in (select prdt_id from dim_product where prdt_name='中国平安' and prdt_type_name='A股')
and a.data_dt='20260331' and a.sys_source='nm'
) b on a.pty_id=b.pty_id
"
6,"26年Q1日均资产大于30万的客户，股票交易量大于10万的，其持有的产品属于哪些产品大类
","with cust_avg_30 as 
(
select pty_id,round(sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0))/((to_date('20260331','yyyymmdd')-to_date('20260101','yyyymmdd'))::integer+1),2) as avg_aset
from dws_cust_aset_d
group by pty_id
having sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0))/((to_date('20260331','yyyymmdd')-to_date('20260101','yyyymmdd'))::integer+1)>300000
), cust_tran as
(
select a.pty_id,sum(b.buy_amt)+sum(b.sell_amt) as tran_amt
from dws_cust_aset_d a
left join dwd_cust_tran_d b on a.pty_id=b.pty_id and b.data_dt between '20260101' and '20260331'
inner join dim_product c on b.prdt_id=c.prdt_id and c.up_prdt_type_id='PT040000'
group by a.pty_id
having sum(b.buy_amt)+sum(b.sell_amt)>100000
)
select c.up_prdt_type_name,c.prdt_type_name,sum(mkt_val) as mkt_val
from cust_tran a
inner join dwd_cust_hold_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
inner join dim_product c on b.prdt_id=c.prdt_id
group by c.prdt_type_name,c.up_prdt_type_name
;"
7,查询26年1月10日到26年2月15日期间，科创板交易量大于25万的客户营业部分布情况,"
select c.up_org_name,c.org_name,sum(b.tran_amt) as tran_amt
from ads_cust_info_d a
inner join 
(
select a.pty_id,sum(buy_amt)+sum(sell_amt) as tran_amt
from dwd_cust_tran_d a
inner join dim_product b on a.prdt_id=b.prdt_id and b.prdt_type_name='科创板'
where a.data_dt between '20260110' and '20260215'
group by a.pty_id
having sum(buy_amt)+sum(sell_amt)>250000
) b on a.pty_id=b.pty_id
left join dim_branch c on a.org_id=c.org_id
group by c.up_org_name,c.org_name;"
8,数据库中共有多少个客户,"select count(*) as cust_cnt
from ads_cust_info_d
where data_dt='20260531';"
9,男性客户有多少个,"select count(*) as cust_cnt
from ads_cust_info_d a
left join dim_public b on a.gender_cd=b.code and b.code_type_id='500'
where a.data_dt='20260531' and b.describe='男';"
10,女性客户有多少个,"select count(*) as cust_cnt
from ads_cust_info_d a
left join dim_public b on a.gender_cd=b.code and b.code_type_id='500'
where a.data_dt='20260531' and b.describe='女';"
11,各性别客户数量分布情况,"select b.describe as gender, count(*) as cnt
from ads_cust_info_d a
left join dim_public b on a.gender_cd=b.code and b.code_type_id='500'
where a.data_dt='20260531'
group by b.describe
order by cnt desc;"
12,各客户等级的客户数量分布,"select b.describe as cust_lvl, count(*) as cnt
from ads_cust_info_d a
left join dim_public b on a.cust_lvl_cd=b.code and b.code_type_id='100'
where a.data_dt='20260531'
group by b.describe
order by cnt desc;"
13,各学历层次的客户数量分布,"select b.describe as edu, count(*) as cnt
from ads_cust_info_d a
left join dim_public b on a.edu_cd=b.code and b.code_type_id='600'
where a.data_dt='20260531'
group by b.describe
order by cnt desc;"
14,各省份的客户数量分布,"select prov_name, count(*) as cnt
from ads_cust_info_d
where data_dt='20260531'
group by prov_name
order by cnt desc, prov_name;"
15,全体客户的平均年龄是多少,"select round(avg(cust_age),1) as avg_age
from ads_cust_info_d
where data_dt='20260531';"
16,各省份的客户数量及平均年龄,"select prov_name, count(*) as cnt, round(avg(cust_age),1) as avg_age
from ads_cust_info_d
where data_dt='20260531'
group by prov_name
order by cnt desc, prov_name;"
17,年龄最大的3位客户的姓名、年龄、省份,"select name, cust_age, prov_name
from ads_cust_info_d
where data_dt='20260531'
order by cust_age desc, name
limit 3;"
18,数据库中共有多少家营业部,"select count(distinct org_id) as org_cnt
from dim_branch;"
19,数据库中共有多少家分公司（上级机构）,"select count(distinct up_org_id) as branch_cnt
from dim_branch;"
20,各分公司下属营业部数量分布,"select up_org_name, count(distinct org_id) as org_cnt
from dim_branch
group by up_org_name
order by org_cnt desc, up_org_name;"
21,各账户状态（正常、休眠等）的客户数量分布,"select b.describe as cust_status, count(*) as cnt
from ads_cust_info_d a
left join dim_public b on a.cust_status=b.code and b.code_type_id='200'
where a.data_dt='20260531'
group by b.describe
order by cnt desc;"
22,产品表中共有多少个产品,"select count(*) as prdt_cnt
from dim_product;"
23,各产品一级分类的产品数量分布,"select up_prdt_type_name, count(*) as prdt_cnt
from dim_product
group by up_prdt_type_name
order by prdt_cnt desc;"
24,A股产品有多少个,"select count(*) as prdt_cnt
from dim_product
where prdt_type_name='A股';"
25,ETF产品有多少个,"select count(*) as prdt_cnt
from dim_product
where prdt_type_name='ETF';"
26,持仓数据中最新日期是哪一天,"select max(data_dt) as latest_dt
from dwd_cust_hold_d;"
27,20260331有多少客户有持仓记录,"select count(distinct pty_id) as cust_cnt
from dwd_cust_hold_d
where data_dt='20260331';"
28,20260331全体客户持仓总市值是多少,"select sum(mkt_val) as tot_mkt_val
from dwd_cust_hold_d
where data_dt='20260331';"
29,持仓表各币种（0人民币、1美元、2港币）的记录数分布,"select ccy, count(*) as cnt
from dwd_cust_hold_d
group by ccy
order by ccy;"
30,26年Q1有多少客户发生过交易,"select count(distinct pty_id) as cust_cnt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331';"
31,26年Q1全体客户买入总金额是多少,"select sum(buy_amt) as tot_buy_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331';"
32,26年Q1全体客户卖出总金额是多少,"select sum(sell_amt) as tot_sell_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331';"
33,20260331全体客户普通账户总资产合计,"select sum(nm_tot_aset) as tot_aset
from dws_cust_aset_d
where data_dt='20260331';"
34,20260331普通账户平均总资产是多少,"select round(avg(nm_tot_aset),2) as avg_aset
from dws_cust_aset_d
where data_dt='20260331';"
35,26年Q1全体客户现金转入总额是多少,"select sum(cash_in) as tot_cash_in
from dws_cust_fin_d
where data_dt between '20260101' and '20260331';"
36,标准字典表中共有多少种字典类型,"select count(distinct code_type_id) as type_cnt
from dim_public;"
37,各职业类型的客户数量TOP10,"select b.describe as profession, count(*) as cnt
from ads_cust_info_d a
left join dim_public b on a.prof_cd=b.code and b.code_type_id='700'
where a.data_dt='20260531'
group by b.describe
order by cnt desc
limit 10;"
