序号,SQL
1,"select count(*)
from ads_cust_info_d a
left join dim_public b on a.edu_cd = b.code and b.code_type_id='600' 
left join dim_public c on a.gender_cd = c.code and c.code_type_id='500'
where b.describe  in ('博士','硕士','学士') and c.describe in ('男')
and a.cust_age>50 "
2,"select case when cust_age<30 then '<30'
     when cust_age>=30 and cust_age<50 then '[30,50)'
     when cust_age>=50 and cust_age<60 then '[50,60)'
     when cust_age>=60 then '[60,)'
    end as cust_age_type
  ,sum(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)) as aset 
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
where a.data_dt='20260531'
group by case when cust_age<30 then '<30'
     when cust_age>=30 and cust_age<50 then '[30,50)'
     when cust_age>=50 and cust_age<60 then '[50,60)'
     when cust_age>=60 then '[60,)'
    end;"
3,"with custinfo as
(select pty_id
from ads_cust_info_d a 
left join dim_public b on a.cust_lvl_cd=b.code and b.code_type_id='100'
left join dim_public c on a.gender_cd=c.code and c.code_type_id='500'
where b.describe='紫金理财钻石卡客户' and c.describe in ('男')
and a.cust_age>40
),
prdtinfo as
(select a.pty_id,sum(a.mkt_val) as mkt_val
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where b.prdt_name='比亚迪' and a.data_dt='20260331'
and exists(select 1 from custinfo z where a.pty_id=z.pty_id)
group by a.pty_id
having sum(a.mkt_val)>1000
)
select a.pty_id
     ,coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0) as bgn_aset
     ,coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0) as end_aset
     ,coalesce(d.aset_in,0) as aset_in
     ,coalesce(d.aset_out,0) as aset_out
     ,coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)-coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0)+coalesce(d.aset_out,0)-coalesce(d.aset_in,0) as aset_pft
from prdtinfo a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dws_cust_aset_d c on a.pty_id=c.pty_id and c.data_dt='20260101'  --准确的话应该是20251231，暂时以20260101代替
left join 
(
select pty_id
      ,sum(cash_in)+sum(tran_in)+sum(assign_in) as aset_in
      ,sum(cash_out)+sum(tran_out)+sum(assign_out) as aset_out
from dws_cust_fin_d
where data_dt between '20260101' and '20260331'
group by pty_id
) d on a.pty_id=d.pty_id;"
4,"select b.up_org_name,b.org_name,a.prov_name,a.city_name,count(*) as cnt
from ads_cust_info_d a
inner join dim_branch b on a.org_id=b.org_id
group by b.up_org_name,b.org_name,a.prov_name,a.city_name"
5,"
with cust_tran as
(
select pty_id,prdt_id,sum(buy_amt) as buy_tot,sum(sell_amt) as sell_tot 
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331' 
and prdt_id in (
select prdt_id from dim_product
where prdt_name='招商银行' and prdt_type_name='A股'
)
group by pty_id,prdt_id
)
select a.pty_id
from cust_tran a
inner join 
(
select a.*
from dwd_cust_hold_d a
where prdt_id in (select prdt_id from dim_product where prdt_name='中国平安' and prdt_type_name='A股')
and a.data_dt='20260331' and a.sys_source='nm'
) b on a.pty_id=b.pty_id
"
6,"with cust_avg_30 as 
(
select pty_id,round(sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0))/((to_date('20260331','yyyymmdd')-to_date('20260101','yyyymmdd'))::integer+1),2) as avg_aset
from dws_cust_aset_d
group by pty_id
having sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0))/((to_date('20260331','yyyymmdd')-to_date('20260101','yyyymmdd'))::integer+1)>300000
), cust_tran as
(
select a.pty_id,sum(b.buy_amt)+sum(b.sell_amt) as tran_amt
from dws_cust_aset_d a
left join dwd_cust_tran_d b on a.pty_id=b.pty_id and b.data_dt between '20260101' and '20260331'
inner join dim_product c on b.prdt_id=c.prdt_id and c.up_prdt_type_id='PT040000'
group by a.pty_id
having sum(b.buy_amt)+sum(b.sell_amt)>100000
)
select c.up_prdt_type_name,c.prdt_type_name,sum(mkt_val) as mkt_val
from cust_tran a
inner join dwd_cust_hold_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
inner join dim_product c on b.prdt_id=c.prdt_id
group by c.prdt_type_name,c.up_prdt_type_name
;"
7,"
select c.up_org_name,c.org_name,sum(b.tran_amt) as tran_amt
from ads_cust_info_d a
inner join 
(
select a.pty_id,sum(buy_amt)+sum(sell_amt) as tran_amt
from dwd_cust_tran_d a
inner join dim_product b on a.prdt_id=b.prdt_id and b.prdt_type_name='科创板'
where a.data_dt between '20260110' and '20260215'
group by a.pty_id
having sum(buy_amt)+sum(sell_amt)>250000
) b on a.pty_id=b.pty_id
left join dim_branch c on a.org_id=c.org_id
group by c.up_org_name,c.org_name;"
8,"select count(*) as cust_cnt
from ads_cust_info_d
where data_dt='20260531';"
9,"select count(*) as cust_cnt
from ads_cust_info_d a
left join dim_public b on a.gender_cd=b.code and b.code_type_id='500'
where a.data_dt='20260531' and b.describe='男';"
10,"select count(*) as cust_cnt
from ads_cust_info_d a
left join dim_public b on a.gender_cd=b.code and b.code_type_id='500'
where a.data_dt='20260531' and b.describe='女';"
11,"select b.describe as gender, count(*) as cnt
from ads_cust_info_d a
left join dim_public b on a.gender_cd=b.code and b.code_type_id='500'
where a.data_dt='20260531'
group by b.describe
order by cnt desc;"
12,"select b.describe as cust_lvl, count(*) as cnt
from ads_cust_info_d a
left join dim_public b on a.cust_lvl_cd=b.code and b.code_type_id='100'
where a.data_dt='20260531'
group by b.describe
order by cnt desc;"
13,"select b.describe as edu, count(*) as cnt
from ads_cust_info_d a
left join dim_public b on a.edu_cd=b.code and b.code_type_id='600'
where a.data_dt='20260531'
group by b.describe
order by cnt desc;"
14,"select prov_name, count(*) as cnt
from ads_cust_info_d
where data_dt='20260531'
group by prov_name
order by cnt desc, prov_name;"
15,"select round(avg(cust_age),1) as avg_age
from ads_cust_info_d
where data_dt='20260531';"
16,"select prov_name, count(*) as cnt, round(avg(cust_age),1) as avg_age
from ads_cust_info_d
where data_dt='20260531'
group by prov_name
order by cnt desc, prov_name;"
17,"select name, cust_age, prov_name
from ads_cust_info_d
where data_dt='20260531'
order by cust_age desc, name
limit 3;"
18,"select count(distinct org_id) as org_cnt
from dim_branch;"
19,"select count(distinct up_org_id) as branch_cnt
from dim_branch;"
20,"select up_org_name, count(distinct org_id) as org_cnt
from dim_branch
group by up_org_name
order by org_cnt desc, up_org_name;"
21,"select b.describe as cust_status, count(*) as cnt
from ads_cust_info_d a
left join dim_public b on a.cust_status=b.code and b.code_type_id='200'
where a.data_dt='20260531'
group by b.describe
order by cnt desc;"
22,"select count(*) as prdt_cnt
from dim_product;"
23,"select up_prdt_type_name, count(*) as prdt_cnt
from dim_product
group by up_prdt_type_name
order by prdt_cnt desc;"
24,"select count(*) as prdt_cnt
from dim_product
where prdt_type_name='A股';"
