id,question,em,ex,rves_score,time_ratio,gold_row_count,predicted_row_count,empty_result_match,errors
1,,0,1,111.8034,3.39696,1,1,FALSE,[]
2,,0,0,0,0,3,3,FALSE,[]
3,,0,0,0,0,1,1,FALSE,[]
4,,0,0,0,0,15,15,FALSE,[]
5,,0,1,111.8034,2.471068,1,1,FALSE,[]
6,,0,0,0,0,25,6,FALSE,[]
7,,0,0,0,0,3,3,FALSE,[]
8,,0,1,86.6025,0.705109,1,1,FALSE,[]
9,,0,1,100,1.817633,1,1,FALSE,[]
10,,0,1,100,1.675664,1,1,FALSE,[]
11,,0,0,0,0,2,2,FALSE,[]
12,,0,0,0,0,6,6,FALSE,[]
13,,0,0,0,0,7,7,FALSE,[]
14,,0,1,100,1.276654,8,8,FALSE,[]
15,,0,0,0,0,1,1,FALSE,[]
16,,0,0,0,0,8,8,FALSE,[]
17,,0,1,100,1.289095,3,3,FALSE,[]
18,,0,0,0,0,1,1,FALSE,[]
19,,0,0,0,0,1,1,FALSE,[]
20,,0,0,0,0,27,26,FALSE,[]
21,,0,0,0,0,3,3,FALSE,[]
22,,0,1,100,1.007838,1,1,FALSE,[]
23,,0,1,100,1.008121,12,12,FALSE,[]
24,,0,1,100,1.302649,1,1,FALSE,[]
25,,0,1,86.6025,0.985594,1,1,FALSE,[]
26,,1,1,86.6025,0.992922,1,1,FALSE,[]
27,,1,1,86.6025,0.991461,1,1,FALSE,[]
28,,0,1,86.6025,0.968562,1,1,FALSE,[]
29,,0,1,100,1.006526,3,3,FALSE,[]
30,,1,1,86.6025,0.969001,1,1,FALSE,[]
31,,1,1,86.6025,0.981907,1,1,FALSE,[]
32,,1,1,86.6025,0.958612,1,1,FALSE,[]
33,,1,1,86.6025,0.955043,1,1,FALSE,[]
34,,1,1,86.6025,0.949919,1,1,FALSE,[]
35,,1,1,100,1.012208,1,1,FALSE,[]
36,,0,1,86.6025,0.788451,1,1,FALSE,[]
37,,0,0,0,0,10,10,FALSE,[]
38,,0,1,100,1.064068,30,30,FALSE,[]
39,,0,0,0,0,6,6,FALSE,[]
40,,0,0,0,0,2,2,FALSE,[]
41,,0,0,0,0,7,7,FALSE,[]
42,,0,0,0,0,4,4,FALSE,[]
43,,0,1,86.6025,0.99163,6,6,FALSE,[]
44,,0,1,86.6025,0.811048,7,7,FALSE,[]
45,,0,0,0,0,10,10,FALSE,[]
46,,0,0,0,0,2,1,FALSE,[]
47,,0,1,86.6025,0.769313,1,1,FALSE,[]
48,,0,1,86.6025,0.950367,3,3,FALSE,[]
49,,0,0,0,0,6,6,FALSE,[]
50,,0,1,100,1.014827,1,1,FALSE,[]
51,,0,0,0,0,15,15,FALSE,[]
52,,0,1,86.6025,0.986959,1,1,FALSE,[]
53,,0,1,100,1.0059,1,1,FALSE,[]
54,,0,1,100,1.631963,1,1,FALSE,[]
55,,0,0,0,0,11,11,FALSE,[]
56,,0,0,0,0,10,10,FALSE,[]
57,,0,0,0,0,2,2,FALSE,[]
58,,0,0,0,0,88,88,FALSE,[]
59,,0,1,86.6025,0.914459,1,1,FALSE,[]
60,,0,0,0,0,15,15,FALSE,[]
61,,0,0,0,0,2,2,FALSE,[]
62,,0,0,0,0,3,3,FALSE,[]
63,,0,1,86.6025,0.960671,6,6,FALSE,[]
64,,0,0,0,0,1,1,FALSE,[]
65,,0,0,0,0,1,1,FALSE,[]
66,,0,0,0,0,10,10,FALSE,[]
67,,0,1,100,1.167275,3,3,FALSE,[]
68,,0,0,0,0,486,1,FALSE,[]
69,,0,0,0,0,3,3,FALSE,[]
70,,0,0,0,0,120,119,FALSE,[]
71,,1,1,100,1.023809,10,10,FALSE,[]
72,,0,0,0,0,20,20,FALSE,[]
73,,0,0,0,0,6,6,FALSE,[]
74,,0,0,0,0,242,242,FALSE,[]
75,,0,0,0,0,6,6,FALSE,[]
76,,0,1,86.6025,0.990925,1,1,FALSE,[]
77,,0,0,0,0,10,10,FALSE,[]
78,,0,1,86.6025,0.910876,10,10,FALSE,[]
79,,0,0,0,0,10,10,FALSE,[]
80,,0,0,0,0,14,14,FALSE,[]
81,,0,1,100,1.70259,1,1,FALSE,[]
82,,0,0,0,0,9,9,FALSE,[]
83,,0,0,0,0,9,14,FALSE,[]
84,,0,0,0,0,3,3,FALSE,[]
85,,0,0,0,0,15,15,FALSE,[]
86,,0,1,86.6025,0.974556,3,3,FALSE,[]
87,,0,0,0,0,5,15,FALSE,[]
88,,0,0,0,0,20,20,FALSE,[]
89,,0,0,0,0,10,10,FALSE,[]
90,,0,0,0,0,3,3,FALSE,[]
91,,0,0,0,0,5,5,FALSE,[]
92,,0,0,0,0,3,3,FALSE,[]
93,,0,0,0,0,3,3,FALSE,[]
94,,0,1,86.6025,0.961248,2,2,FALSE,[]
95,,0,0,0,0,10,10,FALSE,[]
96,,0,0,0,0,10,10,FALSE,[]
97,,0,0,0,0,20,20,FALSE,[]
,,,40,,,,,,
