id,question,em,ex,rves_score,time_ratio,gold_row_count,predicted_row_count,empty_result_match,errors
1,,0,1,111.8034,3.202037,1,1,FALSE,[]
2,,0,0,0,0,3,3,FALSE,[]
3,,0,0,0,0,1,1,FALSE,[]
4,,0,0,0,0,15,15,FALSE,[]
5,,0,1,86.6025,0.816771,1,1,FALSE,[]
6,,0,0,0,0,25,7,FALSE,[]
7,,0,0,0,0,3,4,FALSE,[]
8,,0,1,100,1.526903,1,1,FALSE,[]
9,,0,1,111.8034,2.394653,1,1,FALSE,[]
10,,0,1,100,1.907535,1,1,FALSE,[]
11,,0,0,0,0,2,2,FALSE,[]
12,,0,0,0,0,6,6,FALSE,[]
13,,0,0,0,0,7,7,FALSE,[]
14,,0,1,100,1.337063,8,8,FALSE,[]
15,,0,0,0,0,1,1,FALSE,[]
16,,0,0,0,0,8,8,FALSE,[]
17,,0,1,86.6025,0.983977,3,3,FALSE,[]
18,,0,0,0,0,1,1,FALSE,[]
19,,0,0,0,0,1,1,FALSE,[]
20,,0,0,0,0,27,26,FALSE,[]
21,,0,0,0,0,3,3,FALSE,[]
22,,0,1,100,1.328294,1,1,FALSE,[]
23,,0,0,0,0,12,13,FALSE,[]
24,,0,1,86.6025,0.980695,1,1,FALSE,[]
25,,0,1,100,1.033063,1,1,FALSE,[]
26,,1,1,86.6025,0.957401,1,1,FALSE,[]
27,,1,1,100,1.033905,1,1,FALSE,[]
28,,0,1,86.6025,0.999443,1,1,FALSE,[]
29,,0,0,0,0,3,3,FALSE,[]
30,,1,1,86.6025,0.972308,1,1,FALSE,[]
31,,0,1,86.6025,0.977555,1,1,FALSE,[]
32,,0,1,86.6025,0.916043,1,1,FALSE,[]
33,,0,1,100,1.078788,1,1,FALSE,[]
34,,0,1,86.6025,0.966899,1,1,FALSE,[]
35,,0,1,86.6025,0.737848,1,1,FALSE,[]
36,,0,1,86.6025,0.9296,1,1,FALSE,[]
37,,0,0,0,0,10,10,FALSE,[]
38,,0,1,100,1.48996,30,30,FALSE,[]
39,,0,0,0,0,6,6,FALSE,[]
40,,0,0,0,0,2,2,FALSE,[]
41,,0,0,0,0,7,7,FALSE,[]
42,,0,0,0,0,4,4,FALSE,[]
43,,0,0,0,0,6,6,FALSE,[]
44,,0,1,100,1.091766,7,7,FALSE,[]
45,,0,0,0,0,10,10,FALSE,[]
46,,0,0,0,0,2,1,FALSE,[]
47,,0,1,100,1.104738,1,1,FALSE,[]
48,,0,1,86.6025,0.927738,3,3,FALSE,[]
49,,0,0,0,0,6,6,FALSE,[]
50,,0,1,100,1.011068,1,1,FALSE,[]
51,,0,0,0,0,15,15,FALSE,[]
52,,0,1,86.6025,0.999006,1,1,FALSE,[]
53,,0,1,100,1.007866,1,1,FALSE,[]
54,,0,0,0,0,1,1,FALSE,[]
55,,0,0,0,0,11,11,FALSE,[]
56,,0,0,0,0,10,10,FALSE,[]
57,,0,0,0,0,2,2,FALSE,[]
58,,0,0,0,0,88,88,FALSE,[]
59,,0,1,100,1.268049,1,1,FALSE,[]
60,,0,0,0,0,15,15,FALSE,[]
61,,0,0,0,0,2,2,FALSE,[]
62,,0,0,0,0,3,3,FALSE,[]
63,,0,1,86.6025,0.996848,6,6,FALSE,[]
64,,0,0,0,0,1,1,FALSE,[]
65,,0,0,0,0,1,1,FALSE,[]
66,,0,0,0,0,10,10,FALSE,[]
67,,0,1,86.6025,0.98742,3,3,FALSE,[]
68,,0,0,0,0,486,1,FALSE,[]
69,,0,0,0,0,3,3,FALSE,[]
70,,0,0,0,0,120,119,FALSE,[]
71,,1,1,86.6025,0.935856,10,10,FALSE,[]
72,,0,0,0,0,20,20,FALSE,[]
73,,0,0,0,0,6,6,FALSE,[]
74,,0,0,0,0,242,242,FALSE,[]
75,,0,0,0,0,6,6,FALSE,[]
76,,0,1,86.6025,0.997083,1,1,FALSE,[]
77,,0,0,0,0,10,10,FALSE,[]
78,,0,0,0,0,10,10,FALSE,[]
79,,0,0,0,0,10,10,FALSE,[]
80,,0,0,0,0,14,14,FALSE,[]
81,,0,1,100,1.338684,1,1,FALSE,[]
82,,0,0,0,0,9,9,FALSE,[]
83,,0,0,0,0,9,14,FALSE,[]
84,,0,0,0,0,3,3,FALSE,[]
85,,0,0,0,0,15,15,FALSE,[]
86,,0,1,100,1.233557,3,3,FALSE,[]
87,,0,0,0,0,5,15,FALSE,[]
88,,0,0,0,0,20,20,FALSE,[]
89,,0,0,0,0,10,10,FALSE,[]
90,,0,0,0,0,3,3,FALSE,[]
91,,0,0,0,0,5,5,FALSE,[]
92,,0,0,0,0,3,3,FALSE,[]
93,,0,0,0,0,3,3,FALSE,[]
94,,0,0,0,0,2,2,FALSE,[]
95,,0,0,0,0,10,10,FALSE,[]
96,,0,0,0,0,10,10,FALSE,[]
97,,0,0,0,0,20,20,FALSE,[]
,,,34,,,,,,
